,NSW,NSW,NSW,NSW,NSW,QLD,QLD,QLD,SAU,SAU,SAU,VIC,VIC,VIC,VIC,WAU,WAU,WAU,OTH,OTH
,Metro,NthCo,SthCo,SthIn,NthIn,Metro,Cntrl,NthCo,Metro,Coast,Inner,Metro,WstCo,EstCo,Inner,Metro,Coast,Inner,Metro,NoMet
1/1/1998,9.047095397,8.56567789,5.818028804,2.679537963,2.977506662,12.10605238,2.748373689,2.137234012,2.881371787,2.591997218,0.894877294,7.490381649,2.442004813,3.381972183,5.326655137,3.075778941,3.06655507,0.694995372,3.437923945,2.073469372
4/1/1998,6.96212589,7.124468362,2.466436706,3.010732155,3.477702717,7.786686688,4.040915256,2.269595619,2.124735577,1.375780128,0.979250884,5.198178082,0.960504703,1.8279401,4.441118574,2.154928814,3.334405408,0.557679575,2.677081107,1.787938519
7/1/1998,6.871963048,4.716893116,1.928052834,3.328869005,3.014770331,11.38002362,5.343964347,4.89022702,2.284870236,1.079541542,0.980328853,5.244217363,0.75597438,1.35195212,3.815645302,2.787286174,4.365844091,1.006184417,3.793742887,2.345020634
10/1/1998,7.147292612,6.269299065,2.797555974,2.417772236,3.757972112,9.311460272,4.260418878,2.621548165,1.785888968,1.497663951,1.509434264,6.274245607,1.27160397,1.493414796,3.859567145,2.752909842,4.521995729,1.172551447,3.304231082,1.943688721
1/1/1999,7.956922814,9.493901336,4.85368068,3.224285428,3.7907599,12.67194153,4.186113263,2.48320254,2.293872588,2.247683952,0.963522662,9.187421553,2.385058308,2.896928893,4.588755209,3.519564374,3.579346593,0.398182909,3.510818728,2.16583787
4/1/1999,6.542243263,5.401201389,2.759843103,2.428489038,3.395283939,9.58296509,4.237806498,3.377830469,2.197418167,1.672802259,0.996880335,4.992302926,1.328863781,1.54790143,4.07040054,3.160429682,3.408532883,0.596018162,2.871867494,1.803939681
7/1/1999,6.330364078,5.542625824,2.041826625,2.893273482,3.626120094,11.19296875,6.414599373,5.577959094,2.03351308,1.104702799,1.057687232,4.746482734,0.758858743,0.914096992,4.114488757,2.707726493,3.979314192,0.95145616,3.833230908,1.612655216
10/1/1999,7.50921219,6.383473632,2.650677221,2.814578017,3.691498027,9.871108252,3.710497683,4.279066329,2.252620544,1.503242118,0.770542225,4.684531868,0.942279427,1.341607178,3.723363115,2.294064897,3.364681542,0.83240458,3.143405657,1.652280397
1/1/2000,7.662490502,8.33700801,5.367951355,2.553072062,3.135834013,11.70985135,3.800143966,2.909853475,3.199796181,2.480801194,1.066686712,8.449046764,2.227110388,2.681875462,4.958002959,3.60698809,3.728502005,0.548136832,4.126248412,2.026803439
